2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
39.9835972851,8.0458144796,0.5028280543,0.9376510194
22.375,8.85,12.75,0.4209725752
24.9212707182,31.986878453,23.8038674033,1.1052995565
12.7125,30.3458333333,18.725,0.6071475158
23.8746533595,12.8976327344,16.8372017448,4.0117555756
14.9231595092,4.1918711656,19.3691717791,1.448648458
32.8628670925,6.7582179931,21.3364940999,3.4772129537
27.1302447552,36.4694055944,16.0725524476,0.8110030448
5.4229386385,12.4423537872,17.1341083413,1.5727942342
36.9112318841,1.2083333333,1.9547101449,0.6361021095
16.6215457686,12.5110103627,25.289507772,1.2926173875
4.2008727477,11.4521396396,13.770411036,1.8781262932
21.0420702179,31.9306900726,18.2696731235,1.1549428364
31.575,43.2940540541,5.3694594595,1.9038572481
22.9674873737,35.1912878788,26.2768308081,1.4348908497
25.6131401787,23.6203756134,2.2681672329,3.0948875688
34.2703410611,38.4397570218,0.8907155595,2.0301130834
11.9568965517,25.275862069,8.0086206897,0.6003250561
41.6082506203,4.7720223325,28.44882134,1.1455450005
11.9356060606,12.5744949495,28.8446969697,0.7174454248
4.4861111111,42.775,23.2194444444,0.5516301269
15.8563218391,36.4971264368,25.7442528736,0.8658185541
33.6383291019,29.6753014916,18.2697159632,2.2736656815
36.5227987421,18.981918239,6.3183962264,0.8401874311
19.0383361006,3.842386148,21.8072224858,3.1566081358
34.4128787879,21.1553030303,12.5356060606,0.8506256093
39.5633962883,33.4137337145,23.910382885,3.4141692298
37.864539749,29.535041841,20.3300209205,0.9624461492
41.85625,23.75,2.18125,0.530392209
4.6109271523,4.2309602649,28.1332781457,1.0405096681
33.3795385779,4.3678139183,4.7458396369,1.7021100028
12.0795813586,29.512835703,24.9058056872,1.3316140708
34.8904140825,14.4583637359,16.8881642953,3.1303091859
30.8100683491,14.6896687697,14.7085962145,1.525119865
5.96,14.3886538462,22.1267307692,1.6926152769
28.3455501618,39.6992718447,3.9699838188,1.7928885768
4.2933397683,18.1533783784,13.2778957529,1.6904424693
15.7379707113,21.5973849372,28.6229079498,1.6457597651
14.189516129,2.9919354839,1.810483871,0.7733647398
42.7709550419,17.8748729997,26.2543497587,3.0853820061
31.25,44.825,0.2916666667,0.4818933026
42.9442307692,35.5634615385,24.9269230769,0.7856424169
34.1015625,2.3229166667,23.2838541667,0.7101240423
9.6,12.190625,10.696875,0.6682523088
12.5927798683,13.8909924741,27.3035042333,1.5827836683
21.112067326,43.74329593,1.9840718905,2.1404610741
40.9779411765,3.9796712803,0.6388408304,1.0253601145
10.375,37.2882653061,0.1658163265,0.5675130234
3.6587837838,25.8178746929,6.6207002457,1.1493225876
27.079735376,7.1361420613,11.5045264624,1.1022377692
40.3991725549,27.1236984009,1.5255206396,2.1566222075
44.325,29.2083333333,5.1,0.4818933026
18.6850490196,19.5153186275,16.1519607843,1.1502631139
37.9553571429,17.65625,17.3035714286,0.5933438991
36.7564655172,2.3573667712,26.3203369906,1.6821344182
27.2391155799,39.8359527528,11.1425712612,2.1218450459
23.3907629903,4.2648644486,8.6570394331,2.6285953205
43.7603904282,28.1227959698,23.3158060453,1.436097655
5.4149628253,19.5714684015,15.6848513011,1.7119243411
11.4166535927,20.1945795419,11.7205443991,2.8755074157
24.9934210526,1.7697368421,16.5723684211,0.5968548915
11.4102807284,36.4872913505,11.6580045524,1.3496016807
43.0892857143,39.4553571429,11.5803571429,0.4709373648
21.8363821138,40.6453252033,0.4339430894,0.7712801886
30.8817478604,45.1565997367,8.8401086241,1.7827744317
38.1621784566,8.0739549839,6.7335209003,1.6679534745
37.8412408759,14.9713835435,27.7810218978,2.2402245637
9.2225828842,12.2128245958,17.6746896946,2.8372562327
18.8023255814,30.6831395349,14.863372093,0.6845575363
35.979679803,29.2629310345,1.638546798,1.1483805195
34.2774144869,44.324195171,15.8553822938,1.2284644745
34.6072048611,21.7497829861,0.8843315972,1.6257782104
15.0296199702,22.9517511177,4.3407228018,1.357744271
37.3918995468,12.2229984894,16.6647469789,2.1456051314
12.3511904762,43.6011904762,28.8273809524,0.4278749918
17.9471205597,41.0681288123,24.2556063868,2.1825094281
12.4107142857,13.8527121375,16.891783029,1.9079648277
24.3743281212,17.8175849011,1.4421268019,2.4807960046
41.6282894737,17.1710526316,28.8914473684,0.65692381
31.3845628415,23.1963114754,27.7676229508,1.5056273791
28.7292039356,44.0579159213,24.7761627907,1.2775593209
23.6625,35.89375,25.81875,0.530392209
41.2099968808,28.4200717405,11.6412195883,1.8150488289
14.2295051699,1.3521048744,5.3332717873,1.361779196
14.8951612903,2.5557795699,15.6518817204,1.4052969944
23.2263513514,16.5925675676,14.3175675676,1.1133824729
13.8492647059,18.4944852941,28.6580882353,0.7975478985
3.8214285714,19.8642857143,16.5821428571,0.6391603397
25.0625,22.5589285714,15.3642857143,0.8052915663
15.7259412688,8.3344813217,18.7936194725,3.3632798304
42.7465200445,14.0947939866,11.334214922,1.8851500171
